Idiom,Meaning,Examples,Type,,,,
able to breathe easily again," able to breathe clean, fresh air with no restriction or obstruction","Final exams are over, so I can breathe easily again.",Literal,,,,
able to breathe freely again," able to breathe clean, fresh air with no restriction or obstruction","Final exams are over, so I can breathe easily again.",Literal,,,,
able to do something blindfolded," able to do something very easily, possibly without even lookingAble to can be replaced with can.",Bill boasted that he could pass his driver’s test blindfolded.,Figurative,,,,
able to do something standing on one’s head," able to do something very easily, possibly without even lookingAble to can be replaced with can.",Bill boasted that he could pass his driver’s test blindfolded.,Figurative,,,,
able to take just so much,able to endure only a limited amount of discomfort or unpleasantnessAble to can be replaced with can.,Please stop hurting my feelings. I’m able to take just so much.,General,,,,
able to take only so much,able to endure only a limited amount of discomfort or unpleasantnessAble to can be replaced with can.,Please stop hurting my feelings. I’m able to take just so much.,General,,,,
above one’s bend, beyond one’s ability.,"Fixing those new cars with computers in them is above my bend.  Joe’s a good cook, but fancy desserts are above his huckleberry.",General,,,,
above one’s huckleberry, beyond one’s ability.,"Fixing those new cars with computers in them is above my bend.  Joe’s a good cook, but fancy desserts are above his huckleberry.",General,,,,
absolve someone from something,to prove that an accused person is innocent of something,,General,,,,
absolve someone of something,to prove that an accused person is innocent of something,,General,,,,
acceptable damage,Euphcasualties or destruction inflicted by an enemy that is considered minor or tolerable,The general indicated that the fifty thousand casualties were within the range of acceptable losses.,General,,,,
acceptable losses,Euphcasualties or destruction inflicted by an enemy that is considered minor or tolerable,The general indicated that the fifty thousand casualties were within the range of acceptable losses.,General,,,,
acclimate someone or an animal to something,to cause a person or other living thing to become used to a different climate or environment.,We will help acclimate Henry to the new building.  We need to acclimatize the fish to the new aquarium.,General,,,,
acclimatize someone or an animal to something,to cause a person or other living thing to become used to a different climate or environment.,We will help acclimate Henry to the new building.  We need to acclimatize the fish to the new aquarium.,General,,,,
according to all accounts,from all the reports that are available,"According to all accounts, the police were on the scene immediately.  By all accounts, it was a very poor performance.",General,,,,
by all accounts,from all the reports that are available,"According to all accounts, the police were on the scene immediately.  By all accounts, it was a very poor performance.",General,,,,
accustomed to someone or something,used to someone or something,The children are accustomed to eating late in the evening.,General,,,,
accustomed to doing something,used to someone or something,The children are accustomed to eating late in the evening.,General,,,,
ace in the hole, something important held in reserve,,Figurative,,,,
someone’s ace in the hole, something important held in reserve,,Figurative,,,,
ache for someone or something, to desire someone or something very muchSo much that it “hurts.”,"Jim ached for the sight of Mary, whom he loved deeply.",Figurative,,,,
hurt for someone or something, to desire someone or something very muchSo much that it “hurts.”,"Jim ached for the sight of Mary, whom he loved deeply.",Figurative,,,,
add fuel to the fire, to make a problem worse,,Figurative,,,,
add fuel to the flame, to make a problem worse,,Figurative,,,,
add something into something,to introduce something into something else,Add in some more eggs.,General,,,,
add something in†,to introduce something into something else,Add in some more eggs.,General,,,,
add something onto something,to extend something by providing more of somethingThis use of on with add is colloquial,You added too much on.,General,,,,
add something on†,to extend something by providing more of somethingThis use of on with add is colloquial,You added too much on.,General,,,,
the advantage of someone,a position superior to that of someone else,"I got an edge on Sally, too, and she came in second.",General,,,,
the advantage over someone,a position superior to that of someone else,"I got an edge on Sally, too, and she came in second.",General,,,,
an advantage over someone,a position superior to that of someone else,"I got an edge on Sally, too, and she came in second.",General,,,,
the edge on someone,a position superior to that of someone else,"I got an edge on Sally, too, and she came in second.",General,,,,
the edge over someone,a position superior to that of someone else,"I got an edge on Sally, too, and she came in second.",General,,,,
affiliate someone or something to someone or something,to cause a person or thing to be associated with some other person or thing.,He did not want to affiliate his club to the other clubs.  We tried to affiliate John with other people who shared his interests.,General,,,,
affiliate someone or something with someone or something,to cause a person or thing to be associated with some other person or thing.,He did not want to affiliate his club to the other clubs.  We tried to affiliate John with other people who shared his interests.,General,,,,
After a storm comes a calm., Things are often calm after an upheaval.,"Jill: I can’t believe how peaceful the office is today, when yesterday everyone was either being fired or threatening to quit. Jane: After a storm comes a calm.",General,,,,
After the storm comes a calm., Things are often calm after an upheaval.,"Jill: I can’t believe how peaceful the office is today, when yesterday everyone was either being fired or threatening to quit. Jane: After a storm comes a calm.",General,,,,
The calm after a storm., Things are often calm after an upheaval.,"Jill: I can’t believe how peaceful the office is today, when yesterday everyone was either being fired or threatening to quit. Jane: After a storm comes a calm.",General,,,,
after the fashion of someone or something,in the manner or style of someone or something.,She walks down the street after the fashion of a grand lady.  The parish church was built after the style of a French cathedral.,General,,,,
after the style of someone or something,in the manner or style of someone or something.,She walks down the street after the fashion of a grand lady.  The parish church was built after the style of a French cathedral.,General,,,,
aim for something,to strive toward a particular goal,,General,,,,
aim at something,to strive toward a particular goal,,General,,,,
Aim for the stars!,Aspire to something!,"Aim for the stars, son! Don’t settle for second best.  Set your sights high. Reach for the stars!",General,,,,
Reach for the stars!,Aspire to something!,"Aim for the stars, son! Don’t settle for second best.  Set your sights high. Reach for the stars!",General,,,,
ain’t got a grain of sense, is or are foolish.,Mary spends money like there’s no tomorrow. She sure ain’t got a grain of sense.  I wouldn’t trust Jim to take care of my kids. He ain’t got a lick of sense.,General,,,,
ain’t got a lick of sense, is or are foolish.,Mary spends money like there’s no tomorrow. She sure ain’t got a grain of sense.  I wouldn’t trust Jim to take care of my kids. He ain’t got a lick of sense.,General,,,,
ain’t got the brains God gave a squirrel, is or are very foolish.,"There goes John, running around barefooted in the snow. He ain’t got the brains God gave a squirrel.  No use trying to explain anything to Jane. She ain’t got the sense God gave geese.",General,,,,
ain’t got the sense God gave geese, is or are very foolish.,"There goes John, running around barefooted in the snow. He ain’t got the brains God gave a squirrel.  No use trying to explain anything to Jane. She ain’t got the sense God gave geese.",General,,,,
air one’s dirty linen in public," to discuss private or embarrassing matters in public, especially when quarrelingThis linen refers to sheets and tablecloths or other soiled cloth.",They are arguing again. Why must they always air their dirty linen in public  She will talk to anyone about her problems. Why does she wash her dirty linen in public,Figurative,,,,
wash one’s dirty linen in public," to discuss private or embarrassing matters in public, especially when quarrelingThis linen refers to sheets and tablecloths or other soiled cloth.",They are arguing again. Why must they always air their dirty linen in public  She will talk to anyone about her problems. Why does she wash her dirty linen in public,Figurative,,,,
alive and kicking, well and healthy.,"Jane: How is Bill since his illness last month Mary: Oh; he’s alive and kicking. _The last time I saw Tom, he was alive and well.",Figurative,,,,
alive and well, well and healthy.,"Jane: How is Bill since his illness last month Mary: Oh; he’s alive and kicking. _The last time I saw Tom, he was alive and well.",Figurative,,,,
all dressed up and nowhere to go,completely ready for something that has been postponed or has failed to materializeMay be literal or figurative,"The space shot was cancelled, so all the astronauts are all dressed up with nowhere to go.",General,,,,
all dressed up with nowhere to go,completely ready for something that has been postponed or has failed to materializeMay be literal or figurative,"The space shot was cancelled, so all the astronauts are all dressed up with nowhere to go.",General,,,,
all joking aside,being serious for a moment,"I know I laugh at him but, joking aside, he’s a very clever scientist.  I know I threatened to leave and go round the world, but, joking aside, I do need a vacation.",General,,,,
all kidding aside,being serious for a moment,"I know I laugh at him but, joking aside, he’s a very clever scientist.  I know I threatened to leave and go round the world, but, joking aside, I do need a vacation.",General,,,,
all oak and iron bound, in good health,"Jane made a wonderful recovery from her surgery, and now she’s as sound as a barrel.",General,,,,
sound as a barrel, in good health,"Jane made a wonderful recovery from her surgery, and now she’s as sound as a barrel.",General,,,,
all over creation, everywhere.,"Little Billy had his toys spread out all over creation. It took forever to clean up after him.  They’re looking all over creation, trying to find the missing man.  Tom has traveled all over hell and half of Georgia trying to find the man who done him wrong.",General,,,,
all over hell and half of Georgia, everywhere.,"Little Billy had his toys spread out all over creation. It took forever to clean up after him.  They’re looking all over creation, trying to find the missing man.  Tom has traveled all over hell and half of Georgia trying to find the man who done him wrong.",General,,,,
all over hell and gone, everywhere.,"Little Billy had his toys spread out all over creation. It took forever to clean up after him.  They’re looking all over creation, trying to find the missing man.  Tom has traveled all over hell and half of Georgia trying to find the man who done him wrong.",General,,,,
to hell and gone, everywhere.,"Little Billy had his toys spread out all over creation. It took forever to clean up after him.  They’re looking all over creation, trying to find the missing man.  Tom has traveled all over hell and half of Georgia trying to find the man who done him wrong.",General,,,,
all over the earth, everywhere,,Figurative,,,,
all over the world, everywhere,,Figurative,,,,
All that glitters is not gold., Just because something looks attractive does not mean it is genuine or valuableOften said as a warning.,"Hollywood may look like an exciting place to live, but I don’t think you should move there. All that glitters is not gold.  I know Susie is popular and pretty, but don’t be fooled by that. All that glitters is not gold.",General,,,,
All that glistens is not gold., Just because something looks attractive does not mean it is genuine or valuableOften said as a warning.,"Hollywood may look like an exciting place to live, but I don’t think you should move there. All that glitters is not gold.  I know Susie is popular and pretty, but don’t be fooled by that. All that glitters is not gold.",General,,,,
all the more reason for doing something,with even better reason or cause for doing somethingCan be included in a number of grammatical constructions.,Bill: I don’t do well in calculus because I don’t like the stuff. Father: All the more reason for working harder at it.  Bob: I’m tired of painting this fence. It’s so old it’s rotting! Sally: All the more reason to paint it.,General,,,,
all the more reason to do something,with even better reason or cause for doing somethingCan be included in a number of grammatical constructions.,Bill: I don’t do well in calculus because I don’t like the stuff. Father: All the more reason for working harder at it.  Bob: I’m tired of painting this fence. It’s so old it’s rotting! Sally: All the more reason to paint it.,General,,,,
all the same,nevertheless,"They were told not to bring presents, but they brought them all the same.  His parents told him to stay home, but John went out just the same.",General,,,,
just the same,nevertheless,"They were told not to bring presents, but they brought them all the same.  His parents told him to stay home, but John went out just the same.",General,,,,
all the same to someone,of no consequence to someone—one way or the other,"It’s all the same to me whether we win or lose.  If it’s just the same to you, I’d rather walk than ride.  If it’s all the same, I’d rather you didn’t smoke.",General,,,,
just the same to someone,of no consequence to someone—one way or the other,"It’s all the same to me whether we win or lose.  If it’s just the same to you, I’d rather walk than ride.  If it’s all the same, I’d rather you didn’t smoke.",General,,,,
All things must pass., Everything comes to an end eventually.,You’ll get over this setback. All things must pass.,Figurative,,,,
All things will pass., Everything comes to an end eventually.,You’ll get over this setback. All things must pass.,Figurative,,,,
all things to all men, for someone or something liked or used by all people,You simply can’t be all things to all people. _The candidate set out to be all things to all men and came off looking very wishy-washy.,Figurative,,,,
all things to all people, for someone or something liked or used by all people,You simply can’t be all things to all people. _The candidate set out to be all things to all men and came off looking very wishy-washy.,Figurative,,,,
allocate something to someone or something,"to give or assign something to someone or somethingBetween with two, among with three or more",David allocated the money among all the members.  He allocated the work between Fred and George.  We had to allocate the money between the philanthropy and social committees.,General,,,,
allocate something between someone or something,"to give or assign something to someone or somethingBetween with two, among with three or more",David allocated the money among all the members.  He allocated the work between Fred and George.  We had to allocate the money between the philanthropy and social committees.,General,,,,
allocate something among someone or something,"to give or assign something to someone or somethingBetween with two, among with three or more",David allocated the money among all the members.  He allocated the work between Fred and George.  We had to allocate the money between the philanthropy and social committees.,General,,,,
Allow me.,"Please let me help youTypically said by someone politely assisting another person, as by opening a door or providing some personal serviceIn Allow me, the stress is usually on meIn Permit me, the stress is usually on -mit.","Tom and Jane approached the door. “Allow me,” said Tom, grabbing the doorknob.  “Permit me,” said Fred, pulling out a gold-plated lighter and lighting Jane’s cigarette.",General,,,,
Permit me.,"Please let me help youTypically said by someone politely assisting another person, as by opening a door or providing some personal serviceIn Allow me, the stress is usually on meIn Permit me, the stress is usually on -mit.","Tom and Jane approached the door. “Allow me,” said Tom, grabbing the doorknob.  “Permit me,” said Fred, pulling out a gold-plated lighter and lighting Jane’s cigarette.",General,,,,
allow someone or something into a place,to permit someone or something to enter some place.,Will they allow you in the restaurant without a tie  They won’t allow in too many visitors.,General,,,,
allow someone or something in†,to permit someone or something to enter some place.,Will they allow you in the restaurant without a tie  They won’t allow in too many visitors.,General,,,,
almost jump out of one’s skin, to react strongly to shock or surprise,Bill was so startled he almost jumped out of his skin.,Figurative,,,,
nearly jump out of one’s skin, to react strongly to shock or surprise,Bill was so startled he almost jumped out of his skin.,Figurative,,,,
along those lines,similarly,We will deal with the other students along similar lines.,General,,,,
along these lines,similarly,We will deal with the other students along similar lines.,General,,,,
along similar lines,similarly,We will deal with the other students along similar lines.,General,,,,
alternate between someone and someone else,to choose or change between two persons or things alternately.,The job will alternate between Gil and Ed. _The maid will alternate between the first f loor and the second f loor.,General,,,,
alternate between something and something else,to choose or change between two persons or things alternately.,The job will alternate between Gil and Ed. _The maid will alternate between the first f loor and the second f loor.,General,,,,
amount to the same thing, to be the same as something.,"Borrowing can be the same as stealing. If the owner does not know what you have borrowed, it amounts to the same thing.  With cars—whether they’re red or blue—it comes to the same thing.",Figurative,,,,
come to the same thing, to be the same as something.,"Borrowing can be the same as stealing. If the owner does not know what you have borrowed, it amounts to the same thing.  With cars—whether they’re red or blue—it comes to the same thing.",Figurative,,,,
add up to the same thing, to be the same as something.,"Borrowing can be the same as stealing. If the owner does not know what you have borrowed, it amounts to the same thing.  With cars—whether they’re red or blue—it comes to the same thing.",Figurative,,,,
and so forth,with additional related or similar things mentioned but not specified.,"She told me everything about her kids and so forth.  I heard about problems at work and so forth.  He told me about all his health problems, including his arthritis and so on. _I need some help getting ready for dinner, setting the table, and so on.",General,,,,
and so on,with additional related or similar things mentioned but not specified.,"She told me everything about her kids and so forth.  I heard about problems at work and so forth.  He told me about all his health problems, including his arthritis and so on. _I need some help getting ready for dinner, setting the table, and so on.",General,,,,
and something to spare, with extra left over,Fred said he should have enough cash to last the week—with money to spare.,Figurative,,,,
with something to spare, with extra left over,Fred said he should have enough cash to last the week—with money to spare.,Figurative,,,,
another pair of eyes, another person to examine something closely in addition to anyone previously.,"As soon as we can get a fresh pair of eyes on this mansuscipt, we will find the last of the typos.",Figurative,,,,
a fresh pair of eyes, another person to examine something closely in addition to anyone previously.,"As soon as we can get a fresh pair of eyes on this mansuscipt, we will find the last of the typos.",Figurative,,,,
answer back to someone,to talk back to someone,I wish you wouldn’t answer back to me that way. _Please don’t answer me back like that! _Don’t answer back or I’ll ground you for a week!,General,,,,
answer someone back,to talk back to someone,I wish you wouldn’t answer back to me that way. _Please don’t answer me back like that! _Don’t answer back or I’ll ground you for a week!,General,,,,
answer someone’s purpose,to fit or suit someone’s aim or goal.,This piece of wood will answer my purpose quite nicely.  The new car serves our purpose perfectly.,General,,,,
serve someone’s purpose,to fit or suit someone’s aim or goal.,This piece of wood will answer my purpose quite nicely.  The new car serves our purpose perfectly.,General,,,,
Anyone I know,a coy way of asking who,Bill: I’ve got a date for the formal next month. Henry: Anybody I know,General,,,,
Anybody I know,a coy way of asking who,Bill: I’ve got a date for the formal next month. Henry: Anybody I know,General,,,,
Anytime you are ready.,a phrase indicating that the speaker is waiting for the person spoken to to make the appropriate move or action.,"Mary: I think it’s about time to go. Bill: Anytime you’re ready. _Surgeon: Shall we begin the operation Nurse: Anytime you’re ready, Doctor.",General,,,,
Anytime you’re ready.,a phrase indicating that the speaker is waiting for the person spoken to to make the appropriate move or action.,"Mary: I think it’s about time to go. Bill: Anytime you’re ready. _Surgeon: Shall we begin the operation Nurse: Anytime you’re ready, Doctor.",General,,,,
Are you doing okay, How are you,"Mary: Doing okay Bill: You bet! How are you _Bill: Hey, man! Are you doing okay Tom: Sure thing! And you 2. How are you surviving this situation or ordeal  Mary: You doing okay Bill: Sure. What about you Mary: I’m doing fine.  Tom: Wow, that was some turbulence we just hit! Are you doing okay Mary: I’m still a little frightened, but I’ll make it.",General,,,,
You doing okay, How are you,"Mary: Doing okay Bill: You bet! How are you _Bill: Hey, man! Are you doing okay Tom: Sure thing! And you 2. How are you surviving this situation or ordeal  Mary: You doing okay Bill: Sure. What about you Mary: I’m doing fine.  Tom: Wow, that was some turbulence we just hit! Are you doing okay Mary: I’m still a little frightened, but I’ll make it.",General,,,,
Are you leaving so soon,a polite inquiry made to a guest who has announced a departureAppropriate only for the first few guests to leaveIt would seem sarcastic to say this to the last guest to leave or one who is leaving very late at night.,"Sue: We really must go. Sally: Leaving so soon Sue: Fred has to catch a plane at five in the morning.  John seeing Tom at the door: You leaving so soon Tom: Yes, thanks for inviting me. I really have to go. John: Well, good night, then.",General,,,,
You leaving so soon,a polite inquiry made to a guest who has announced a departureAppropriate only for the first few guests to leaveIt would seem sarcastic to say this to the last guest to leave or one who is leaving very late at night.,"Sue: We really must go. Sally: Leaving so soon Sue: Fred has to catch a plane at five in the morning.  John seeing Tom at the door: You leaving so soon Tom: Yes, thanks for inviting me. I really have to go. John: Well, good night, then.",General,,,,
argue one’s way out of something,to talk and get oneself free of a problem.,"You can’t argue your way out of this! _It’s a problem, and there is no way that you can argue your way out.",General,,,,
argue one’s way out,to talk and get oneself free of a problem.,"You can’t argue your way out of this! _It’s a problem, and there is no way that you can argue your way out.",General,,,,
arguing for the sake of arguing,arguing simply to be difficult or contrary,,General,,,,
arguing for the sake of argument,arguing simply to be difficult or contrary,,General,,,,
arise from something, to get up from something,I arose out of my slumbers at dawn. 2. Lit. for something to drift upward from something. _The smoke arose from the burning oil wells.  The smoke arose out of the exhaust pipe. 3. Fig. to be due to something; to be caused by something.  This whole problem arose from your stubbornness.  The labor problem arose out of mismanagement. 4. Fig. for someone to come from poor or unfortunate circumstances.  She arose from poverty to attain great wealth.  She arose out of squalor through her own hard work.,Literal,,,,
arise out of something, to get up from something,I arose out of my slumbers at dawn. 2. Lit. for something to drift upward from something. _The smoke arose from the burning oil wells.  The smoke arose out of the exhaust pipe. 3. Fig. to be due to something; to be caused by something.  This whole problem arose from your stubbornness.  The labor problem arose out of mismanagement. 4. Fig. for someone to come from poor or unfortunate circumstances.  She arose from poverty to attain great wealth.  She arose out of squalor through her own hard work.,Literal,,,,
arrive at a decision,to make a decision,Have you arrived at a decision yet  We will reach a decision tomorrow.,General,,,,
reach a decision,to make a decision,Have you arrived at a decision yet  We will reach a decision tomorrow.,General,,,,
arrive somewhere upon the stroke of some time,to reach a place at a particular instant of timeUpon is more formal and less commonly used than on,,General,,,,
arrive somewhere at the stroke of some time,to reach a place at a particular instant of timeUpon is more formal and less commonly used than on,,General,,,,
arrive upon the scene of something,to reach the location of an event in progressUpon is formal and less commonly used than on and at.,The police arrived on the scene of the crime.  They arrived upon the scene of a frightening accident.  What did they do when they arrived at the scene,General,,,,
