Word,Definition,Image_Search_Term,Image_Link,Sketch_Link
ABASE,to humble,humble,https://images.pexels.com/photos/12045722/pexels-photo-12045722.jpeg,https://pixabay.com/get/g3984acec6703acbe881900352d9763a7fd0f88d0efdbef5ce16e0d6d729edcb2902267d8fbd19cf6c392f2636895e7958c7f9b0c312ae2faabca027d3a83679d_1280.png
ABATE,to lessen,storm calming weather,https://images.pexels.com/photos/9012395/pexels-photo-9012395.jpeg,https://pixabay.com/get/g3b15622a96011f22a4911c620ddfeea57dce1a1d9a1f996596c8c9de1dbd2ae07e375ca9bb94bfc8acbe0744e09596804c38ec0492ed40f1159dacd7b8ee2607_1280.png
ABDICATE,to give up power,king crown leaving throne,https://images.pexels.com/photos/16010575/pexels-photo-16010575.jpeg,https://pixabay.com/get/g8bd670e2b70add4c25b273c12c7d9b31e1c00e38de95467d5c6307996b39737c65f278e5c1c4798f2d8dbd934291b282b2809320fb28cf5eb43a35987f9eb268_1280.png
ABERRATION,deviation,unusual flower different,https://images.pexels.com/photos/36756220/pexels-photo-36756220.jpeg,https://pixabay.com/get/g0f9122ccf9c3681b02ba16d5468b3c918c15df842223fb1e266a1d03a660118128cce6f1c989af901eff5b9b212e85330ace8787242f257a2c6790dac5da789a_1280.png
ABET,to encourage,friends helping each other,https://images.pexels.com/photos/27616792/pexels-photo-27616792.jpeg,https://pixabay.com/get/g0de8bf47b708b6dc9b8c84bd2bd3932e47d5929473051a899b04e0c46a67a8b7dfd80bbf09b5cd0c94ae9fb637092e4b9861775ae624bbdc51231d6350a647ea_1280.png
ABEYANCE,suspension,pause button waiting,https://images.pexels.com/photos/18665837/pexels-photo-18665837.jpeg,https://pixabay.com/get/g8d12f709f34857d37c6ace564566ea0d09ca0c1f60609c7111f0d023a04b2a7329c8f1a996deb96404a53c1ec5a6c1e6b923ea391db7c9a7665c1fb07386fed2_1280.png
ABJECT,wretched,person needing help,https://images.pexels.com/photos/27616792/pexels-photo-27616792.jpeg,https://pixabay.com/get/ga5ef1f7e97f7be29f82c22ba304e37bf10e9e89f7ee7e26a671ed11677f3a2d76313a79d68c6f6dc06af5efcd7c0e11d757f5419da8b83b3993f6f64a0c5d3f3_1280.png
ABRADE,to wear away,sandpaper smoothing surface,https://images.pexels.com/photos/20818886/pexels-photo-20818886.jpeg,https://pixabay.com/get/ga2b4f7ded196b80feb7b20e16e5bff2b80b3aaff471f61e2cd4a23b9a12508e519d8cf87c72b22cd310248516874cb302d2cbfb1f9546909c2dd6fd54499b446_1280.png
ABSCOND,to leave secretly,person leaving quietly,https://images.pexels.com/photos/18647362/pexels-photo-18647362.jpeg,https://pixabay.com/get/g1cdb6859633cf0df737f857ee659294362c00445d55c99e8c69da849588893df0665b48706851eac20dbe165e0391f9bfbd0b111adc52dee5a1eced94fee0062_1280.png
ABSOLUTE,complete,complete perfect circle,https://images.pexels.com/photos/12336825/pexels-photo-12336825.jpeg,https://pixabay.com/get/g6b1f9287031c2ff7a9ce2783b4de375df155d09157fb0e86011f8b89396a50294b6b240b1f7f999589084cbb064d72075a7907c35fabc47aacd2b4212ed1072b_1280.png
ABSOLVE,to forgive,judge forgiving person,https://images.pexels.com/photos/20830475/pexels-photo-20830475.jpeg,https://pixabay.com/get/g0176117f102d49d1173dcd95ea15818f0aecf7d23d4e339b950ea83fe8638a3be998ec1ea5d35f43a0113a55aed3d840_1280.png
ABSTAIN,to refrain,person saying no thank you,https://images.pexels.com/photos/3762802/pexels-photo-3762802.jpeg,https://pixabay.com/get/gb3fd990183d0efe970d5acd87f9386c7d943d60cd134c3a6495d48a1cead567fb84c2d67bc61175828150708cb94adfbc030d290308ed17f55b3cb7875b29b2a_1280.png
ABSTRACT,theoretical,modern art discomfortting,https://images.pexels.com/photos/13371111/pexels-photo-13371111.jpeg,https://pixabay.com/get/gcc86721df1377594badcae2915f55442e5f4de2e765deef125445430f1a6cf1a6a630ab7da99ba1b4185f7f605b7d58b897d67918c0ddcc8c5dd97cbe50af243_1280.png
ABSTRUSE,hard to understand,puzzle difficult to solve,https://images.pexels.com/photos/18069241/pexels-photo-18069241.png,https://pixabay.com/get/g15c714c3f044e679432e3f5bfc7a25ae013eb4f448c1c23148aebcfb001d0e6e4026a26006376b6e6cac3d9212c9f3f79831722142c8b8cfb2c3859eb105aabc_1280.png
ACCELERATE,to speed up,car speeding up,https://images.pexels.com/photos/4714841/pexels-photo-4714841.jpeg,https://pixabay.com/get/g2dfbf67e933d8ab39faccd8369da724ac522eee4f6b450573471116e17467d00ef8eb26b67a8f3b5dc656b535dd89b8f785d1715cd490965ffa8f0b9c0c8f334_1280.png
ACCESSIBLE,easy to reach,wheelchair ramp entrance,https://images.pexels.com/photos/20884217/pexels-photo-20884217.jpeg,https://pixabay.com/get/g275ba0e1e4c22bd3bef9ed5422535e3035fd5d6e96564955585140ba5b9a1794cb28e5e7d04d5452f25c4165fb60f741b0dae943136c33cda6688616030f66d4_1280.png
ACCESSORY,extra item,handbag and shoes,https://images.pexels.com/photos/9230441/pexels-photo-9230441.jpeg,https://pixabay.com/get/ga5001fae2e644ad57ec53109827db1b5b14d23e5e221d81d0e84be33acc8735ecdaa952a6c64e10ee7ba1d065103c3ede79f92bef7c90999fa66c742306b7169_1280.png
ACCLAIM,praise,audience clapping cheering,https://images.pexels.com/photos/17264309/pexels-photo-17264309.jpeg,https://pixabay.com/get/g627927d32023a1b9fa20839d645594c3d7348276771bc24f742513f6670dc89d277dc94edabbb85abe6e939ce80a2265ed7cd59ff8478935742360eb0acad7e0_1280.png
ACCOLADE,honor,trophy award ceremony,https://images.pexels.com/photos/10972233/pexels-photo-10972233.jpeg,https://pixabay.com/get/g77bf37672f552ffe99b283c5e9870dee51f86c28dc80d57b43b94b4452e50810503ad1f824fd733916f14e675709fe7b60078078b048e771e461ebed37a72c4e_1280.png
ACCOMODATE,to provide,provide,https://images.pexels.com/photos/15597767/pexels-photo-15597767.jpeg,https://pixabay.com/get/geba2f57cf2362562638c564087d5f29c668a1aff9cd76e6afc7db126e694d46cec5b464e18bf92bb3cec8d38cdb019288ba64a09a4ba834a244f1ab37839a091_1280.png
ACCOMPLICE,partner in crime,two people planning together,https://images.pexels.com/photos/14904695/pexels-photo-14904695.jpeg,https://pixabay.com/get/g3febc8ef56b9237bd83b38d41e01e120981e7042b983b55d37defe0699b15e065c870789b0c7a865505af0576db63acaeed3c1a7d45c95f8e12f4377a90d8035_1280.png
ACKNOWLEDGE,to admit,person nodding waving,https://images.pexels.com/photos/3762802/pexels-photo-3762802.jpeg,https://pixabay.com/get/gd23578f77dd83d23fd9c6465c56e8f086ccfb10bcd71acf934ccb4c4b40a082c24e49fca0083f9f3094b53106b48298390cfa17e100b872e4180688c6b2af262_1280.png
ACQUITTAL,release from charge,judge freeing person,https://images.pexels.com/photos/3762802/pexels-photo-3762802.jpeg,https://pixabay.com/get/gb165b209a4f3604f098576f169dc786a4bc171296ce6d49aeaa53f658cd999e9fe27a47f5f12e41515bfc27ed4dc8c2c_1280.png
ACRIMONY,bitterness,people arguing disagreeing,https://images.pexels.com/photos/19568315/pexels-photo-19568315.jpeg,https://pixabay.com/get/gf2c054ba3d5f1cc2ea406f13f017f925aee455eb85e461576c731b39cd2af81108934fa5f95f60582a55ee987ad8fdaafeee3df8e92cf3ff8e621d15f9a1b702_1280.png
ACUMEN,sharp insight,business person thinking,https://images.pexels.com/photos/6071512/pexels-photo-6071512.jpeg,https://pixabay.com/get/gbc7694dd30cde31cd331c5e03fd78845322edbd9e3518026516df4cdf14e6fd912374229eaece56497870c9670b5c0e8e501f8a4b67509bd6d3ebc5f421bc304_1280.png
ADAMANT,unyielding,person standing firm,https://images.pexels.com/photos/6399679/pexels-photo-6399679.jpeg,https://pixabay.com/get/gcd0d1b312323bf981248e31e2ac9a286e4eadc9357cb528b71278b0c8466eaf4eb05d1af893dc2d9c58c61fd5db2a5653358c8aa48df6971babccb60e6ca122f_1280.png
ADAPT,to adjust,chameleon changing color,https://images.pexels.com/photos/15826655/pexels-photo-15826655.jpeg,https://pixabay.com/get/g0b00c36ff1ac77ac20d05f2dc6e43e144b6911118ac2ba4aca7591d712c776802150c9804135bb5ea397a18437462b4e_1280.png
ADDICTION,dependence,person using phone too much,https://images.pexels.com/photos/36718238/pexels-photo-36718238.jpeg,https://pixabay.com/get/g53805ab2318ad41b864576a2affb68f39dbdecc16566f713eaacdd9f49c52a8c73ef910c66fb4586cb8d658986c94110eccaa3f10c0a65c7dee3382df57b0813_1280.png
ADHERE,to stick,glue sticking paper,https://images.pexels.com/photos/19582307/pexels-photo-19582307.jpeg,https://pixabay.com/get/g88eda40e857241cde3da93911488fde6856935307105df22f1301de630e5b23ae05744abed457ed65f0a4fcdcc349f0316ba6b1543a79a62de814bcefafa7a11_1280.png
ADJACENT,next to,two houses next to each other,https://images.pexels.com/photos/35221620/pexels-photo-35221620.jpeg,https://pixabay.com/get/ga36191f77df5d2fd10470e5c9c90c27332536ccd9781518643afe1304e679002094f6cda9aa10cddf8d824d0bccc90fcbd22c3b0bffd158bd2f85a9101a0ce10_1280.png
ADJUDICATE,to judge,judge in courtroom,https://images.pexels.com/photos/37109655/pexels-photo-37109655.jpeg,https://pixabay.com/get/gc256636870901e098545dc401e3509b622613370ce1eb4f9fec8757c354361493128a8cade86cb2c00073ce35da5481567200df16f22b91242826d5220cafffb_1280.png
ADMONISH,to warn,teacher pointing finger,https://images.pexels.com/photos/9291134/pexels-photo-9291134.jpeg,https://pixabay.com/get/g84aeae8229d9235ec953e9c9a5d18b04120c18829f2d884f34509f16773e4407b5faf1ee4e724b9536fba2c345029687759c074f61ec51fccf6f5bc359510ee3_1280.png
ADROIT,skillful,juggler with balls,https://images.pexels.com/photos/20640500/pexels-photo-20640500.jpeg,https://pixabay.com/get/g24b03f22600f873455ba04a5b3bf1c6091babe816b604a37364a60f73b1400bb52fedaea78d7039b04264040947d9d325c9597c2c22cb1acde47aa32bb38ba5a_1280.png
ADULATION,excessive flattery,fans screaming for star,https://images.pexels.com/photos/16308806/pexels-photo-16308806.jpeg,https://pixabay.com/get/gf3387492c85cb716c88ab92978c7a1bcc5e704794a63bbef4d7c20c7e8ac53f9d22d97e382de53423a4b1105e165e07e306374a586e0efd243a62e6a48e9ae7d_1280.png
ADULTERATE,to corrupt,mixing pure water with dirt,https://images.pexels.com/photos/5973784/pexels-photo-5973784.jpeg,https://pixabay.com/get/g1da22af2191ef234b29b27b53d71da38783fafbf9e339264c9f2ef8b6342a4846116c91e791914d942d7294cfaafdc50f3095d053dfce98ee359c699f57d1fe1_1280.png
ADVERSARY,opponent,two chess players competing,https://images.pexels.com/photos/37109655/pexels-photo-37109655.jpeg,https://pixabay.com/get/g31572606cce50fc513e94b51f8498f4800d323e963018f3569605d9bd5e1c8af7de3c80b3eb2d99e2c825bd195facee678cf2d18da95860bf9a3add64863282f_1280.png
ADVERSE,unfavorable,storm clouds approaching,https://images.pexels.com/photos/36768656/pexels-photo-36768656.jpeg,https://pixabay.com/get/ga541bb6a97e103cc3a0d9970fa813f3029916ed96adb69479639952f9a19ba6eb74b6c9bc0e1c13d2597fdf0c0b8b3019ffaf6ca58ec12091bf6e32877965cfd_1280.png
ADVERSITY,hardship,climber scaling mountain,https://images.pexels.com/photos/12261422/pexels-photo-12261422.jpeg,https://pixabay.com/get/gb4bfbefb0fee40cb7b09a425038c5b8344e32136f2d7e75f70cc1e1e4f0b9c3b024a7104ba226fce166191eae339b132da593f8b274475fd1a2adfd95ea0ba1d_1280.png
ADVOCATE,to support,support,https://images.pexels.com/photos/17382268/pexels-photo-17382268.jpeg,https://pixabay.com/get/g6d005e6da65911850f0b1491b97d94a49736cde3178209a6bf95647bc19b4ce854f29d2b25d6dcad16661c97e9c4e53b2998fecf10fa73b5467dd49f2dd89fdf_1280.png
