Word,Definition,Image_Search,Image_Link,Sketch_Link
ABATE,to lessen,storm calming waves,https://images.pexels.com/photos/10700607/pexels-photo-10700607.jpeg,https://pixabay.com/get/g1ca5e64d4625c9c3853d88d6453df5947e3d556c509e7228aea5440ee9ff82eacd5002305181cbdb7faabf50732047b0c61acf1fc0f6ce3f9bf0c35ab3e1ace9_1280.png
ABDICATE,to give up power,king crown surrender throne,https://images.pexels.com/photos/24770171/pexels-photo-24770171.jpeg,https://pixabay.com/get/g4616b9162babf0a4ae9167f3ae525b6e74d0055ca73f117a42ae6e666767e02cce8b149b68e0f8def185016879ba0c91ed96900779fd586e5bca1559a7beec2c_1280.png
ABERRANT,abnormal,strange unusual outlier,https://images.pexels.com/photos/19344136/pexels-photo-19344136.jpeg,https://pixabay.com/get/gaf468538f7ad341fff24855535f6ec96f11017ca981ba55aeaf74f6a80cb13c38a8c228fe28f7af2d410cd4f8e3a96522c261250895c7e955a7ea9e50eeba31d_1280.png
ABEYANCE,temporary suspension,paused waiting frozen,https://images.pexels.com/photos/15057189/pexels-photo-15057189.jpeg,https://pixabay.com/get/g236d35d1c4000380c1aea957cc361b7f882cfd8128ab51e68de9b06b5467b8f29812c0d5dfb51a2e93c7c3e08d94f223dbf177587317012ad01b947b25d7077d_1280.png
ABJECT,wretched,miserable poverty sad,https://images.pexels.com/photos/384553/pexels-photo-384553.jpeg,https://pixabay.com/get/g34c31399a20791027af8f24bebf478e0f341c9e4d54dcb93b32c9bac0539be8a1cd63b68a44376487a04e0fac9a5f5b9dbdcfaa76953262baf92a334733fae13_1280.png
ABJURE,to renounce,reject renounce refuse,https://images.pexels.com/photos/3762802/pexels-photo-3762802.jpeg,https://pixabay.com/get/g605dc13becd4c537ab394b403e5abcbb80f68467c0d8f8a2c254dd2f173b6d189d15f75d9f52d0275be04b2687c5ced9_1280.png
ABSCISSION,cutting off,cutting off,https://images.pexels.com/photos/14040574/pexels-photo-14040574.jpeg,https://pixabay.com/get/g2fc00db2aec00163b495bc3750572b79f47babc23faf8aedcf4bd481fe2d888af445d4eb8c0897669c133cf92dd2c867f1c7b2204a143064d6aca235c12d611d_1280.png
ABSCOND,to leave secretly,run away escape flee,https://images.pexels.com/photos/32989455/pexels-photo-32989455.jpeg,https://pixabay.com/get/g1f287beb1df70ac5f5865aaea94c38b21a14244341001f3769ddd9ae47a29f22b7d55e861b1c08e7e67d6e2cc5a096f234c725b2f53ed763b26db68eecd29fba_1280.png
ABSTEMIOUS,moderate in eating/drinking,small meal moderation diet,https://images.pexels.com/photos/90893/pexels-photo-90893.jpeg,https://pixabay.com/get/g32561ea48c11c454ad61a4c3cb65bffdce4956dda7c88e9a56e74bed690a061ddb3ed7fb1092942249ef295ded4b898c277c7ea137d4f7c93ae04bc68da9d7cc_1280.png
ABSTINENCE,self-restraint,self-restraint,https://images.pexels.com/photos/29479897/pexels-photo-29479897.jpeg,https://pixabay.com/get/g4458bce2a4359e9121a74ad5ef122694ec133f3ea633ec61f13ea9592b00b111fabbaf6728841808882c2a3ece2a5545f56161c988c3fed2319051b263c1a0ae_1280.png
